ADR,Organization-Project,primary_category,explanation,max_confidence_value
0004-structure-for-terraform-projects.md,"('alphagov', 'govuk-kubernetes-discovery')",Existence (ontocrisis),"The ADR primarily focuses on structuring and organizing Terraform code, modules, and resources, which are elements that will exist in the system's architecture. It discusses how to partition code, manage resources, and organize components, all of which are structural decisions about what elements will be present and how they are arranged.",0.85
ADR003-container-orchestration.md,"('alphagov', 'gsp')",Existence (ontocrisis),"The ADR discusses selecting and building upon Kubernetes as the foundational container orchestrator, which involves making a structural decision to establish a specific system component that will exist in the architecture. This decision directly pertains to the existence of a core element (Kubernetes) as the base layer for container orchestration.",0.85
ADR004-tenant-isolation.md,"('alphagov', 'gsp')",Existence (ontocrisis),"The ADR explicitly discusses the decision to manage multiple Kubernetes clusters, which involves creating and deploying specific infrastructure elements (clusters, VPCs, accounts). This is a structural decision about what elements will exist in the architecture to achieve isolation and separation goals.",0.85
ADR022-logging.md,"('alphagov', 'gsp')",Existence (ontocrisis),"The ADR primarily discusses the decision to implement a logging infrastructure, specifically focusing on the existence and integration of log sources, storage, and shipping mechanisms. The core decision involves establishing where and how logs will exist and be managed, which aligns with the structural aspect of the 'Existence' category.",0.85
ADR034-one-service-operator-different-resource-kinds.md,"('alphagov', 'gsp')",Existence (ontocrisis),"The ADR discusses the decision to implement a 'single service operator' for multiple resource kinds, which directly relates to the creation and existence of a system component that manages resources. The focus is on whether this component will exist as a unified entity or multiple entities, aligning with the structural aspect of the 'Existence' category.",0.85
0003-use-ecs-for-initial-beta-buildout.md,"('alphagov', 'monitoring-doc')",Existence (ontocrisis),"The ADR explicitly states the decision to use Amazon ECS for deploying Prometheus, which involves creating and deploying infrastructure components. This is a structural decision about the existence and deployment of an infrastructure element within the architecture.",0.85
ADR007-paas-taking-ownership.md,"('alphagov', 'paas-csls-splunk-broker')",Executive (pericrisis),"The ADR discusses a decision related to ownership, maintenance responsibility, and operational setup, which are driven by organizational, business, and process considerations rather than direct architectural or technical design elements. It reflects a strategic choice about who maintains the system and how it is managed within the organizational context.",0.7
ADR003-AWS-credentials.html.md,"('alphagov', 'paas-team-manual')",Existence (ontocrisis),"The ADR primarily discusses the implementation of a specific infrastructure element—using IAM roles and instance profiles for AWS access—indicating a structural decision about what elements will exist in the system's architecture. It details how AWS credentials will be managed and accessed, which directly relates to the existence and configuration of infrastructure components and their interaction mechanisms.",0.85
ADR004-domain-naming-scheme.html.md,"('alphagov', 'paas-team-manual')",Property (diacrisis),"The ADR primarily addresses naming conventions and domain schemes, which relate to system properties such as purpose, environment distinction, and naming constraints. These are enduring qualities and constraints that influence the system's structure and external interface, fitting the property decision category.",0.7
ADR022-web_app_language_and_framework_selection.html.md,"('alphagov', 'paas-team-manual')",Existence (ontocrisis),"The ADR explicitly states the decision to use Ruby and Rails for developing web applications, which involves selecting specific technologies and frameworks to be implemented in the system. This is a structural decision about which elements (programming language and framework) will exist in the architecture.",0.85
ADR033-redirect-http-for-applications.html.md,"('alphagov', 'paas-team-manual')",Existence (ontocrisis),"The ADR explicitly discusses the decision to implement a redirect endpoint that exists within the system architecture to handle HTTP to HTTPS redirection. This involves the creation and configuration of an architectural element (the redirect endpoint) that will exist in the system, which aligns with the structural aspect of existence decisions.",0.85
adr-005-forking-frontend-components-from-govuk-frontend.md,"('alphagov', 'publisher')",Existence (ontocrisis),"The ADR describes the decision to fork and incorporate a specific frontend component (radio buttons) from GOV.UK Frontend, which involves creating or adopting an architectural element within the system. This aligns with structural decisions about what components or artifacts will exist in the architecture.",0.85
0004-pin-versions-of-jenkins-and-plugins.md,"('alphagov', 're-build-systems')",Existence (ontocrisis),"The ADR primarily discusses decisions related to supporting, pinning, and managing specific versions of Jenkins and plugins, which directly involve the existence and configuration of system components and artifacts. It focuses on how to establish and maintain specific system elements (e.g., pinned versions, supported plugins), aligning with structural decisions about what elements will exist and how they are managed.",0.85
adr-003-popularity-updating-without-index-locks.md,"('alphagov', 'search-api')",Executive (pericrisis),"The ADR discusses a change in the approach to index updating, which impacts the development process and the technology choices (e.g., switching from index locking to external versioning). It also considers simplifying the process and avoiding certain operational constraints, which are organizational and process-oriented considerations typical of executive decisions.",0.6
0003-use-files-to-store-private-keys copy.md,"('alphagov', 'verify-onboarding-prototypes')",Existence (ontocrisis),"The ADR explicitly states the decision to use files for storing private keys, which is a structural choice about how a specific artifact (private keys) will exist within the system. It addresses the method of storing and managing the private keys, which directly relates to the existence of a system element.",0.85
20190327-hashing-attributes.md,"('alphagov', 'verify-proxy-node')",Property (diacrisis),"The ADR primarily discusses implementing a security control (hash logging) to ensure data integrity and confidence in identity information, which relates to system properties such as security and data integrity constraints. It does not specify the existence or non-existence of system elements nor organizational or process decisions.",0.7
0021-we-will-use-http-200-for-valid-saml.md,"('alphagov', 'verify-service-provider')",Executive (pericrisis),"The ADR primarily addresses organizational and procedural aspects of API behavior, such as response codes, error handling, and communication protocols, which are driven by business and operational considerations rather than structural or quality attribute concerns. It involves decisions about how the system interacts with clients and how errors are communicated, aligning with executive decisions that influence development processes and organizational policies.",0.7
0024-release-process-for-verify-service-provider.md,"('alphagov', 'verify-service-provider')",Existence (ontocrisis),"The ADR primarily describes the process and steps involved in releasing and distributing a software artifact securely, which relates to the existence and deployment of the artifact within the system. It details how the release process is managed, signed, and distributed to RPs, focusing on the creation and delivery of the artifact.",0.85
0010-shape-annotation-types.md,"('aml-org', 'amf')",Existence (ontocrisis),"The ADR focuses on adding annotation types to ensure traceability of model elements, which involves explicitly declaring the existence and nature of these elements within the model. The decision is about defining and categorizing elements (annotations) that will exist in the system's model, aligning with structural and behavioral existence decisions.",0.85
0009-source-information-node-storing-source-locations.md,"('aml-org', 'amf-core')",Existence (ontocrisis),"The ADR describes a structural decision to introduce a new node (BaseUnitSourceInformation) into the model, which directly relates to the existence of an architectural element within the system. It specifies the creation and integration of a new artifact (source information node) into the architecture, aligning with the 'existence' category.",0.85
0004-keep-qa-and-devs-html-selectors-separate.md,"('anilewek', 'adr')",Executive (pericrisis),"The ADR describes a decision related to organizational and process choices—specifically, the decision to keep separate selector sets maintained independently by QA and development teams, citing reasons related to tooling, conventions, and team needs. This aligns with executive decisions that influence development processes and organizational practices rather than system structure or properties.",0.9
ADR-20-explorer-settings-panel-architecture.md,"('anilewek', 'adr')",Existence (ontocrisis),"The ADR primarily focuses on defining the structure and components of the Settings Panel, Sections, Widgets, and Controls, which are all elements that will exist in the system. It details how these elements are instantiated, configured, and organized, aligning with the structural aspect of the existence category.",0.85
ADR-32-wearable-committee-reverts.md,"('anilewek', 'adr')",Existence (ontocrisis),"The ADR discusses implementing a mechanism to specify and verify wearable versions via hashing and validation processes, which directly relates to defining and managing specific system elements (wearable versions) and their existence in the system. The decision to use hashes and validation steps pertains to establishing the existence and integrity of particular artifacts within the system.",0.85
ADR-43-catalyst-api-refinment.md,"('anilewek', 'adr')",Existence (ontocrisis),"The ADR primarily discusses the deprecation, modification, and management of various API endpoints, which are elements of the system's architecture. The focus is on which endpoints will exist, be modified, or be removed, directly relating to the structural aspect of the architecture. The decision to deprecate or retain certain endpoints impacts the system's structure and its operational elements.",0.85
ADR-46-royalties-manager-v1.md,"('anilewek', 'adr')",Existence (ontocrisis),"The ADR describes the creation of a new module, 'Royalties Manager,' which is responsible for determining and returning the royalties receiver address based on on-chain data and interface implementations. This involves defining and implementing a new component that will exist within the system architecture, making it a structural decision about the existence of an architectural element.",0.85
0003-cqrs.md,"('anton-liauchuk', 'educational-platform')",Existence (ontocrisis),"The ADR explicitly states that the CQRS pattern will be used, which involves defining separate models and mechanisms for write and read operations. This decision directly impacts the system's structure by establishing the existence of distinct models and components for different functionalities, aligning with the structural aspect of the 'Existence' category.",0.85
0003-distributed-workqueue.md,"('apache', 'james-project')",Existence (ontocrisis),"The ADR primarily discusses the implementation of a distributed work queue, which involves the creation and configuration of specific architectural elements such as the RabbitMQ queue, task execution behavior, and node interactions. These are structural decisions about what components and interactions will exist in the system.",0.85
0005-distributed-task-termination-ackowledgement.md,"('apache', 'james-project')",Existence (ontocrisis),"The ADR primarily discusses the creation and deployment of a new event handling mechanism involving RabbitMQ, which involves establishing new components and interactions within the system architecture. The decision to implement a `RabbitMQEventHandler`, broadcast `TerminationEvent`s, and modify event dispatching directly relates to the structural aspect of the architecture, specifically the existence and configuration of components and connectors.",0.85
0024-polyglot-strategy.md,"('apache', 'james-project')",Existence (ontocrisis),"The ADR discusses the decision to implement certain components and mailets in Scala, which directly relates to the creation and addition of new architectural elements (components, mailets) in the system. This is a structural decision about what elements will exist in the architecture.",0.85
0026-removing-configured-additional-mailboxListeners.md,"('apache', 'james-project')",Existence (ontocrisis),"The ADR primarily discusses the addition and removal of mailbox listener configurations, specifically the management of queues and bindings in RabbitMQ, which are structural elements of the system. The decision involves creating, updating, and maintaining these components to support the system's event processing capabilities.",0.85
0028-Recompute-mailbox-quotas.md,"('apache', 'james-project')",Existence (ontocrisis),"The ADR describes implementing a corrective task that recomputes mailbox quotas, which involves creating or utilizing a process or component to perform this computation. This aligns with the 'Existence' category, as it pertains to the creation or deployment of a specific functionality within the system to address quota inconsistencies.",0.85
0035-distributed-listeners-configuration.md,"('apache', 'james-project')",Existence (ontocrisis),"The ADR primarily discusses the configuration, registration, and management of mailbox listeners, which are concrete elements that will exist within the system architecture. It details how these components are added, removed, and maintained, indicating a focus on the structural aspect of the architecture.",0.85
0042-applicative-read-repairs.md,"('apache', 'james-project')",Existence (ontocrisis),"The ADR primarily discusses implementing 'applicative read repairs' to ensure the existence and consistency of data elements (mailbox and mailbox-counters) within a distributed system. The focus is on creating a mechanism that maintains or restores the presence and correctness of these data artifacts during read operations, which aligns with the structural and behavioral aspects of declaring elements' existence in the architecture.",0.85
0050-jmap-web-push.md,"('apache', 'james-project')",Existence (ontocrisis),"The ADR primarily focuses on implementing a new feature—web push notifications—which involves creating and integrating new components such as the PushClient, storage mechanisms, and event handling infrastructure. These are structural decisions that establish the existence of new architectural elements necessary for the feature.",0.85
0003-have-the-master-documentation-in-the-readme.md,"('arachne-framework', 'architecture')",Executive (pericrisis),"The ADR focuses on a procedural and organizational aspect—specifically, establishing the README as the primary documentation source for onboarding and understanding the system. This decision pertains to project management, documentation practices, and organizational standards rather than structural, behavioral, or property aspects of the system itself.",0.7
0003-monitor-condition-and-data-selectors.md,"('arachne-framework', 'architecture')",Existence (ontocrisis),"The ADR primarily discusses the inclusion and management of data elements (entities) within the system, focusing on what data should be exposed and how it should be managed in the architecture. It addresses the existence of data elements and their selectors, which are structural components of the system's architecture.",0.85
0019-GPIO.md,"('arachne-framework', 'architecture')",Ban/Non-Existence (anticrisis),"The ADR explicitly states that the system will no longer accept core integrations over GPIO and will deprecate and remove existing ones, which aligns with the decision to declare the non-existence of certain integration types in the core system.",0.7
adr-015-data-abstraction-model.md,"('arachne-framework', 'architecture')",Existence (ontocrisis),"The ADR primarily discusses defining and implementing a data abstraction model, which involves specifying the existence and structure of data elements (entities, attributes) and their interactions. It focuses on creating a common data model and persistence operations, aligning with structural and behavioral aspects of system elements.",0.85
0010-archivematica-original-design-principles.md,"('archivematica', 'archivematica-architectural-decisions')",Existence (ontocrisis),"The ADR primarily discusses the design of a system that will generate and manage Archival Information Packages (AIPs), which involves defining the existence and structure of digital preservation artifacts, such as AIPs, metadata, and their components. The decision explicitly states that the application will generate system-independent, self-documenting AIPs, indicating a focus on the creation and structuring of system elements, aligning with the 'Existence' category.",0.85
0006-use-row-level-security-in-postgres-to-implement-multitenancy.md,"('avniproject', 'openchs-adr')",Existence (ontocrisis),"The ADR primarily discusses the implementation of multitenancy by defining how data and metadata elements will exist within the system, including the use of discriminators, RLS policies, and hierarchical organization structures. These are structural decisions that specify what elements (e.g., schemas, tables, policies) will be present and how they are organized to support multitenancy.",0.85
0004-api-key.md,"('awslabs', 'aws-sync-routes')",Executive (pericrisis),"The ADR focuses on a security and access control mechanism (API keys) to restrict access to an API endpoint, which is a decision driven by organizational and operational considerations rather than the system's structural or quality attributes. It pertains to the choice of a business or organizational policy (using API keys) to control access, aligning with the executive decision category.",0.7
adr-0002-backend-language-framework.md,"('azavea', 'pfb-network-connectivity')",Executive (pericrisis),"The ADR primarily concerns choosing a specific technology stack (Python, Django, Django Rest Framework) based on team familiarity, project constraints, and existing solutions. These are organizational and business-driven considerations rather than structural, behavioral, or quality attribute decisions.",0.7
2019-05-09-modular-architecture.md,"('bbc', 'digital-paper-edit-client')",Existence (ontocrisis),"The ADR primarily discusses the organization and separation of different software packages and repositories, which are structural elements of the architecture. The decision to modularize the system into separate packages and repositories directly relates to the existence of architectural components and their organization within the system.",0.85
2019-09-28-time-estimation-for-links.md,"('bbc', 'digital-paper-edit-client')",Existence (ontocrisis),"The ADR primarily discusses the decision to implement a specific method for estimating voice-over time, which involves defining an element or artifact (the 'words per minute calculator') that will exist in the system. The decision focuses on the creation and inclusion of this calculation method, aligning with structural or behavioral elements that will be part of the architecture.",0.85
ADR-003-handling-duplicate-node-ids.md,"('bbc', 'lrud')",Ban/Non-Existence (anticrisis),"The ADR explicitly discusses whether or not to support duplicate IDs, which involves ruling out the possibility of allowing duplicates to prevent confusion and complexity. The decision to disallow duplicates is a form of ruling out an element's existence in the design, fitting the 'Ban/Non-existence' category.",0.7
2018-10-02-component-fonts.md,"('bbc', 'react-transcript-editor')",Existence (ontocrisis),"The ADR discusses whether the font component should be included or inherited, which pertains to the decision about the existence of a specific system element (the font component). It considers whether to create or include a font component or to rely on inherited styles, aligning with structural existence decisions.",0.85
geocoder.md,"('bcgov', 'PIMS')",Existence (ontocrisis),"The ADR describes the decision to integrate with an external Geocoder API, which involves establishing the existence of a new system component (the API integration) within the architecture. It focuses on adding a new element that will exist in the system to improve data accuracy and user experience.",0.85
0012-can-t-use-esbuild.md,"('ben-biddington', 'news')",Ban/Non-Existence (anticrisis),"The ADR explicitly states the decision to 'wait for later version,' indicating a choice to not proceed with using esbuild at this time. This aligns with a decision to exclude or not implement a particular element (esbuild) in the current system, which corresponds to a non-existence (anticrisis) decision.",0.7
0003-use-typescript.md,"('benjamminj', 'portfolio')",Existence (ontocrisis),"The ADR explicitly states the decision to adopt TypeScript for the project, which is a structural element of the architecture. It involves choosing a specific technology that will exist in the system's implementation, affecting how the codebase is structured and how components interact.",0.85
0018-backwards-differential-solver.md,"('biosustain', 'Maud')",Existence (ontocrisis),"The ADR describes a decision to revert to a specific ODE solver, which directly impacts the existence and selection of a particular implementation artifact (the solver). It involves choosing between different structural components (solvers) based on their stability and performance, thus primarily affecting the system's structural configuration.",0.85
adr_python-dev-env.md,"('boxwise', 'boxtribute')",Existence (ontocrisis),"The ADR primarily discusses the selection and configuration of tools and environments that will exist within the development setup, such as testing frameworks, formatting tools, and virtual environments. These are structural decisions about what artifacts and tools will be part of the system's development environment.",0.85
0004-layered-architecture.md,"('budproj', 'architecture-decision-log')",Existence (ontocrisis),"The ADR explicitly describes the adoption of a Layered Architecture pattern, which involves defining and establishing specific structural elements (layers) within the system. This decision directly relates to the creation and organization of system components and their interactions, characteristic of an existence decision.",0.85
007-package-repository.md,"('budproj', 'unfinished-design-system')",Executive (pericrisis),"The ADR primarily concerns choosing a package repository hosting solution (Github Packages), which is a strategic, organizational, and tooling decision driven by business and operational considerations rather than direct architectural structure or properties. It reflects a decision influenced by organizational context, experience, and future plans, aligning with the executive decision category.",0.7
0010-jpa-manages-schema.md,"('buildit', 'bookit-api')",Existence (ontocrisis),"The ADR discusses leveraging Hibernate's 'ddl-auto' feature to manage the creation and updating of database schemas, which directly relates to the existence and management of database artifacts within the system architecture.",0.85
0005-use-aws-rds-aurora-mysql-for-database-persistence.md,"('buildit', 'digitalrig-metal-aws')",Existence (ontocrisis),"The ADR explicitly states the decision to use a specific database technology (AWS RDS Aurora MySQL) for persistence, which is a structural element in the architecture. It involves creating and deploying a concrete component (the database system) as part of the system's design.",0.9
6_package-module-support.md,"('button-inc', 'service-development-toolkit')",Existence (ontocrisis),"The ADR discusses supporting various module formats (CommonJS, ES Modules, UMD, AMD), which are concrete artifacts or elements in the system's architecture. The decision to support or not support specific module types directly relates to the existence of these architectural elements within the system's design.",0.85
zindex-values.md,"('cbinsights', 'form-design-system')",Existence (ontocrisis),"The ADR explicitly discusses setting standards for z-index values, which directly relates to defining and establishing the existence of specific structural elements (z-index layers and ranges) within the system's front-end architecture. It involves decisions about how elements will be layered and interact visually, which are structural decisions about the system's visual and interaction architecture.",0.85
adr-003-abci-app-rpc.md,"('celestiaorg', 'celestia-core')",Existence (ontocrisis),"The ADR explicitly discusses whether an RPC server should be exposed by the ABCI application, which is a structural decision about the existence of a component in the system architecture. The decision to expose or not expose the RPC server directly impacts the system's architecture by adding or removing an element.",0.85
adr-020-block-size.md,"('celestiaorg', 'celestia-core')",Existence (ontocrisis),"The ADR primarily discusses the definition and enforcement of size limits on blocks and transactions within the system, which involves declaring the existence of size constraints and the elements (transactions, evidence, headers) that will be included in a block. It focuses on structural decisions about what elements will exist and how they are bounded, fitting into the category of declaring the existence of system artifacts and their size constraints.",0.85
adr-021-abci-events.md,"('celestiaorg', 'celestia-core')",Existence (ontocrisis),"The ADR primarily discusses the structural and behavioral aspects of the system, specifically how events and tags are represented and managed within the system. The decision to change the data structure from a list of tags to a list of events directly relates to the existence and organization of system elements and their interactions.",0.85
adr-051-double-signing-risk-reduction.md,"('celestiaorg', 'celestia-core')",Existence (ontocrisis),"The ADR describes a specific structural mechanism to reduce the risk of double signing by checking recent blocks for validator votes, which directly involves the existence and behavior of system components (e.g., consensus state machine, validator nodes). It specifies the implementation of a feature that will exist in the system to prevent a particular class of errors.",0.85
adr-055-protobuf-design.md,"('celestiaorg', 'celestia-core')",Existence (ontocrisis),"The ADR primarily discusses the decision to adopt a specific serialization format (Protobuf) and the structural organization of related files and types. This involves declaring the existence of new artifacts (e.g., proto files, generated types) and the transition from existing ones, which aligns with structural and artifact creation decisions.",0.85
adr-056-light-client-amnesia-attacks.md,"('celestiaorg', 'celestia-core')",Existence (ontocrisis),"The ADR discusses the detection and handling of a specific type of structural and behavioral issue (light client amnesia attacks), including the implementation of evidence detection, verification, and on-chain handling mechanisms. It focuses on what elements (evidence, validators, light clients) will exist and how they interact to prevent or detect the attack, aligning with the structural and behavioral aspects of existence decisions.",0.85
adr-060-go-api-stability.md,"('celestiaorg', 'celestia-core')",Executive (pericrisis),"The ADR primarily addresses organizational and process-level decisions related to API stability, versioning, and public/private API management, which are driven by business and organizational considerations rather than direct structural or behavioral design elements.",0.6
adr-062-p2p-architecture.md,"('celestiaorg', 'celestia-core')",Existence (ontocrisis),"The ADR primarily focuses on redesigning and defining the architecture and interfaces of the P2P stack, including components like transports, channels, routers, and peer management. It specifies the existence and structure of these components, their interactions, and how they will be instantiated and managed, which aligns with the 'Existence' decision category.",0.85
adr-064-batch-verification.md,"('celestiaorg', 'celestia-core')",Existence (ontocrisis),"The ADR primarily discusses the implementation of a new interface and methods for batch verification of cryptographic signatures, which directly relates to the creation and existence of a new architectural element (the BatchVerifier interface and its associated methods). This decision involves defining a new structural component that will exist within the system to improve verification performance.",0.85
adr-067-mempool-refactor.md,"('celestiaorg', 'celestia-core')",Existence (ontocrisis),"The ADR primarily focuses on the structural aspect of the mempool, specifically on how transactions are stored, indexed, and retrieved within the system. It introduces new data structures (e.g., priority queue, sender-to-transaction mapping) and modifies existing ones to support transaction prioritization, which are core structural decisions. Although it mentions some behavioral and organizational considerations, the main emphasis is on the existence and management of specific architecture elements (the mempool and its indexes).",0.85
adr-068-reverse-sync.md,"('celestiaorg', 'celestia-core')",Existence (ontocrisis),"The ADR primarily focuses on extending the state sync protocol by adding new message types, components, and data structures to fetch, verify, and store light blocks. These are structural elements that will exist in the system to enable reverse sync functionality.",0.85
adr-007-header-commit-to-shares.md,"('celestiaorg', 'optimint')",Existence (ontocrisis),"The ADR primarily discusses structural commitments related to including specific data roots and headers within the rollup block, which are elements that will exist in the architecture. It focuses on how data elements (like headers, footers, and commitments) are incorporated into the system, indicating a decision about what components and data structures will be present.",0.85
0003-choice-of-react.md,"('change-metrics', 'monocle')",Executive (pericrisis),"The ADR primarily discusses the choice of a technology (React) based on its popularity, community support, and suitability for building a web client. This decision is driven by external factors such as industry standards, community resources, and project benefits, rather than the structural or quality attributes of the system itself.",0.7
adr-2018-10-04.md,"('chef', 'automate')",Existence (ontocrisis),"The ADR primarily discusses the use and management of identifiers (names and UUIDs) for entities within the system, which directly relates to the existence and identification of system elements. It specifies how entities will be identified, named, and referenced, which are structural decisions about what elements will exist and how they are represented.",0.85
0008-use-linter-for-css.md,"('chunksnbits', 'tooling')",Existence (ontocrisis),"The ADR discusses the selection and use of specific tooling (stylelint) and a CSS naming convention (BEM), which are artifacts or elements introduced into the system to support CSS linting and style enforcement. The decision to adopt these tools and conventions directly relates to the creation and existence of these elements within the architecture.",0.85
0005-implement-minimal-api-abstracting-grimoire.md,"('cljdoc', 'cljdoc')",Existence (ontocrisis),"The ADR primarily discusses the implementation of a minimal API and cache structure to facilitate data access and reuse across different languages. This involves defining and creating new artifacts (the cache API, data files, and their structure), which aligns with the structural and behavioral aspects of existence decisions. It does not primarily focus on ruling out elements (non-existence), setting enduring properties (property), or organizational/business decisions (executive).",0.85
0008-implement-workarounds-for-capi-and-log-cache-to-unblock-global-strict-mtls.md,"('cloudfoundry', 'cf-k8s-networking')",Executive (pericrisis),"The ADR primarily addresses a procedural and organizational decision to implement workarounds via policies, which are driven by operational and organizational considerations rather than direct structural, behavioral, or property design choices. It involves managing incompatibilities and configuring policies to unblock development, aligning with decisions influenced by the business environment and organizational processes.",0.9
0004-v7-push-refactor.md,"('cloudfoundry', 'cli')",Existence (ontocrisis),"The ADR primarily discusses refactoring the code to structure the push process into sequences of functions that prepare and actualize deployment plans, effectively declaring the existence and organization of these components within the architecture. It focuses on how the system's components (e.g., push plans, functions) are structured and interact, aligning with the structural aspect of existence decisions.",0.85
0010-renaming-space-application-suporter-role-to-space-supporter.md,"('cloudfoundry', 'cloud_controller_ng')",Executive (pericrisis),"The ADR primarily addresses a process-related decision involving versioning, migration strategy, and operational procedures, rather than structural or property aspects of the system. It discusses creating new tables, deprecating old ones, and managing upgrade paths, which are organizational and procedural choices driven by business and operational considerations.",0.7
0004-check-in-copilot-dependencies-that-were-already-vendored.md,"('cloudfoundry-attic', 'copilot')",Existence (ontocrisis),"The ADR primarily discusses the existence and management of dependencies and source code artifacts within the build process. It involves decisions about what elements (e.g., vendor directories, dependencies) will be included in the system, such as checking in source code and removing external tools like dep. These are structural decisions about what artifacts will exist in the build and deployment process.",0.85
0007-frame-vs-scale.md,"('contiamo', 'operational-visualizations')",Existence (ontocrisis),"The ADR discusses the handling and ordering of data elements within the visualization framework, specifically focusing on how data points and scales are managed and ordered to ensure correct rendering. This involves decisions about the existence and organization of data structures (frames, scales, unique values) and their relationships, which aligns with structural and behavioral aspects of the 'Existence' category.",0.85
adr-004-split-denomination-keys.md,"('cosmos', 'cosmos-sdk')",Existence (ontocrisis),"The ADR primarily discusses how balances are stored and managed within the system, focusing on the creation and organization of data structures for account balances per denomination. It details the implementation of storage keys, APIs, and data access patterns, which are structural decisions about the existence and organization of system elements.",0.85
adr-006-secret-store-replacement.md,"('cosmos', 'cosmos-sdk')",Existence (ontocrisis),"The ADR discusses replacing an existing secret storage backend with a new one, which involves the creation and integration of a new architectural element (the keyring abstraction layer). This decision directly pertains to the existence and structuring of system components related to secret storage.",0.85
adr-020-protobuf-transaction-encoding.md,"('cosmos', 'cosmos-sdk')",Existence (ontocrisis),"The ADR primarily discusses the design and structure of transaction data types, including messages like Tx, TxRaw, TxBody, and AuthInfo, which are all about defining what elements will exist in the system and how they are structured. It specifies the encoding, serialization, and composition of these elements, which directly relates to the declaration of system artifacts and their interactions.",0.85
adr-029-fee-grant-module.md,"('cosmos', 'cosmos-sdk')",Existence (ontocrisis),"The ADR describes the creation of a new module (`x/feegrant`) that introduces new components and elements into the system, such as fee allowances, interfaces, messages, and transaction fields. This constitutes a structural decision to add new artifacts to the architecture.",0.9
adr-044-protobuf-updates-guidelines.md,"('cosmos', 'cosmos-sdk')",Executive (pericrisis),"This ADR primarily addresses guidelines and policies for updating protobuf definitions within the Cosmos SDK, which are driven by organizational and procedural considerations rather than direct architectural structures or properties. It involves decisions about how the development process is managed, versioning policies, and compatibility rules, all of which are characteristic of executive or organizational decisions.",0.9
adr-015-ibc-packet-receiver.md,"('cosmos', 'ibc-go')",Existence (ontocrisis),"The ADR primarily discusses the implementation and modification of components that will exist within the system, such as the `PortKeeper`, `ChannelKeeper`, and the `runTx` method, which are structural elements responsible for routing, state management, and message handling. It also details how these components will be used and interact, indicating a focus on the existence and configuration of system elements.",0.85
0004-hexagonal-architecture-for-applications.md,"('croz-ltd', 'klokwrk-project')",Existence (ontocrisis),"The ADR explicitly states the decision to adopt 'hexagonal architecture' as the primary architectural style for the application, which involves defining the structure and artifacts of the system. This aligns with the structural aspect of existence decisions, as it specifies the architecture pattern and its concrete guidance.",0.85
0003-authenticate-frontstage-users-azure-b2c.md,"('cxpartners', 'sepa-customer-platform')",Executive (pericrisis),"The ADR primarily addresses a business-driven choice regarding the authentication method and user experience, influenced by organizational and vendor considerations, rather than directly defining system structure, properties, or explicit non-existence. It discusses selecting among existing Azure AD B2C policies and configurations, which are driven by business needs and operational constraints.",0.6
0003-for-machine-learning-select-a-vendor-specific-stack-of-a-general-stack.md,"('cyrilbois', 'developer-playbook')",Executive (pericrisis),"The ADR primarily reflects a business-driven choice to select a vendor-specific machine learning platform (AWS Sagemaker) over a more portable, flexible alternative. The decision is motivated by business needs such as speed, ease of use, and strategic alignment, rather than direct architectural structuring or property constraints.",0.7
API-010-appcallback-versioning.md,"('dapr', 'dapr')",Executive (pericrisis),"The ADR focuses on a strategic choice related to API versioning, which impacts the development process and organizational policies rather than the architecture's structural or behavioral elements. It addresses a decision driven by feasibility and operational considerations, aligning with executive or organizational decisions.",0.7
0004-use-client-side-rendering-create-react-app.md,"('dennisseidel', 'saas-platform-frontend')",Existence (ontocrisis),"The ADR explicitly states the decision to use Client Side Rendering (CSR) via Create React App, which involves the creation and deployment of a specific architectural element (the client-side rendered application). This is a structural decision about what technology and rendering approach will exist in the system.",0.85
0011-persistent-user-identity-proposal,"('department-of-veterans-affairs', 'va.gov-team')",Existence (ontocrisis),"The ADR discusses the introduction and restructuring of data tables (`user_verifications`, `user_accounts`, etc.) to manage persistent user identity, which directly relates to the creation and organization of system elements that handle user data and their relationships.",0.85
0002-choice-of-auth-provider.md,"('digirati-co-uk', 'bfi-discovery')",Executive (pericrisis),"The ADR primarily concerns selecting an authentication provider based on business and operational considerations such as cost, ease of deployment, and maintenance, which are driven by organizational and business environment factors rather than the system's structural or behavioral design. The decision is influenced by business needs and operational constraints, fitting the executive decision category.",0.9
ADR Folder structure.md,"('djsing', 'ELEN4010')",Existence (ontocrisis),"The ADR explicitly defines a folder structure, which is a structural element of the system's architecture. It specifies what components (folders and their contents) will exist in the project, aligning with the structural aspect of the existence category.",0.85
0008-location-of-testing-features.md,"('dogmatiq', 'dogma')",Executive (pericrisis),"The ADR primarily addresses organizational and process considerations related to module management, versioning, and release strategies, which are driven by business and organizational factors rather than the system's structural or behavioral design elements.",0.7
ADR-0006.md,"('dtr-org', 'unit-e-project')",Existence (ontocrisis),"The ADR explicitly discusses adopting a coding style guide, which pertains to the existence and application of a specific set of coding standards within the system. This decision impacts the structural aspect of the codebase by establishing a consistent style, thus directly relating to the existence of a coding style artifact.",0.85
0002-use-bullet-to-catch-nplus1-queries.md,"('dxw', 'dalmatian-frontend')",Executive (pericrisis),"The ADR focuses on a process and organizational decision to implement an automated check within the CI pipeline to prevent inefficient database queries. It pertains to development process, tooling, and organizational policies rather than the structural or behavioral design of system components or their qualities.",0.7
