text;ADR;Organization-Project;primary_category;explanation;max_confidence_value;human;Agreement
'supported python versions, using containers Date: 2018-02-28 Accepted eLife has numerous projects written completely and partly with the Python programming language. In order to provide language version consistency across projects we need to get a consensus on which versions we are going to support. We previously have only gone up to Python 3.5 due to the default Python versions pre installed on the Ubuntu distributions we use. Python official images make it easy to support a new Python version without custom PPAs. We will use Python >=2.7.14 as our default version for any project that solely uses or supports Python 2. We will use Python 3.6 as our default supported version for any containerized project that solely uses or supports Python 3. We will use Python 3.5 as our default supported version for any project that is not containerized at the moment. Any libraries that are currently only supporting Python 2 are to be upgraded to support both Python 2 & 3. Any projects that are currently using Python 2 are to be upgraded to Python 3. All Python 2 support in our libraries will remain until official support is dropped in 2020.';0009-supported-python-versions-containers.md;('elifesciences', 'tech-team');Design;The ADR focuses on the abstraction and organization of hardware interfaces through the definition of HAL and driver layers, which pertains to the logical structuring and decomposition of system components. It discusses how different layers interact and abstract hardware details, characteristic of design-level decisions.;0,85;;0.0
'8. virtual platform as mediator pattern Date: 2018-07-06 Accepted We are trying to build a reusable embedded system framework. However, many embedded system implementation details are particular to the underlying hardware details. Systems become tightly coupled because the various software elements interact directly with RTOS, processor, and hardware functionality. If these areas were contained behind generic interfaces and kept from knowing about each other, we increase the odds of creating reusable software designs. The virtual platform abstraction will serve as the mediator for the system. All platform-specific behavior will be implemented within the virtual platform. The platform will contain all of the hardware implementation details, ensuring that the rest of the application is decoupled from these details. This decoupling will work through generic drivers (set up by the platform) and platform APIs (basic set defined by us, extensible by user). The software layer will interact with hardware through the generic driver interfaces and the platform-provided APIs. This ensures that the software application is portable across components and across platform implementations (assuming API guarantees are met on the new platform). We keep our individual components loosely coupled by having the mediator coordinate activities between them We don't need our different components to know about each other directly The virtual platform will be tightly coupled to the specific hardware implementation (it is already) A new hardware implementation requires a new platform, requiring re-definition of the interfaces and behavior for new hardware If a new platform meets the API guarantees, porting will be simplified and the end application will still work We must be careful about the APIs that we provide at the platform layer It's still possible to create poor platform abstractions that make guarantees that can only be met by a specific set of hardware Mediator Pattern';0008-virtual-platform-as-mediator-pattern.md;('embvm', 'embvm-core');Implementation;The ADR focuses on specific build system configurations and how to handle include directories and compiler options, which are internal implementation details rather than high-level architectural or organizational choices. It discusses technical mechanisms for managing build instructions and includes, characteristic of implementation-level decisions.;0,95;;0.0
'3. awx for infrastructure automation Status: Accepted Date: 2020-04-01 The Middleware team has strived to practice Infrastructure-As-Code, meaning DLP's AWS account should be reflected entirely within GitHub. This has mostly been accomplished but Ansible playbooks are currently run in Ansible Core on individual laptops of the Middleware team. The eventual goal should be GitOps, automated infrastructure changes triggered by a commit. For that purpose we will need a platform capable of running playbooks automatically. This platform would need to be able to run the playbooks on demand or scheduled. RedHat provides two solutions: AWX and Ansible Tower. AWX is the upline of Ansible Tower, meaning it is a more advanced version that lacks official support. The Middleware team will use AWX to manage DLP's infrastructure automation needs. A different tool may be used for application automation. Since AWX runs in Docker, knowledge of Docker images, specifically how to set them up and how to update them, will need to be developed by the Middleware team. Shibboleth integration will be needed. Additionally the creation of LDAP groups to manage access to AWX for administrators and developers is required, and LDAP groups require group managers. This section briefly outlines the alternatives we could have taken, with PRO's and CON's. PRO: Officially supported by RedHat PRO: Does not require Docker knowledge CON: Licensing scheme is inventory based PRO: No changes needed, low overhead PRO: Simpler setup for cor-cm CON: Increase dependencies on individual computers CON: Automation severely limited with Ansible Core PRO: Using Jenkins to orchestrate, AWX to execute is a popular setup CON: Increases complexity, AWX can also orchestrate PRO: Simpler setup, no additional tool needed CON: Would still need to provision a server to automatically run capistrano tasks CON: Would require writing a large number of custom capistrano tasks';0003-AWX-for-dlp-automation.md;('emory-libraries', 'dlp-curate');Technology;The ADR focuses on adopting a specific technical standard (ERC-1888) to improve the certificate transfer process, which is a clear technology selection decision involving standards and protocols.;0,70;;0.0
'12. device-registries Date: 2021-01-20 Accepted Handling external device registries like for e.g I-REC registry become impossible due to current code and API structure. We took a decision to deliver separate API for Origin part and leave the external device registry part not opinionated and tailored to exact external registry requirements. Origin Device Registry responsibilities: record external device registry id and smart meter id record platform enhancement content like: story, images and other information Each External Device Registry data will be held in a separate package for e.g @energyweb/origin-device-registry-irec-local-api and respectively @energyweb/origin-device-registry-irec-local-api-client for mock version of the I-REC registry. Since in most of the cases the External Registry is not consistent across the registries, each external registry api would require specific UI component implementation. Implementing external device registry become easier and will not require change to core Origin Device Registry.';0012-device-registries.md;('energywebfoundation', 'origin');Design;The ADR primarily discusses modifications to the search implementation, including how results are flattened and remodelling of data structures, which pertains to the logical organization and structure of the system's search functionality. It involves changes to how data is processed and presented, aligning with Design about data organization and system behavior.;0,75;;0.0
"'an analysis of some placecal ux issues This is my (Justin's) impression of the current issues with PlaceCal as I understand them after meeting Kim and Gabriela on Tue 16th July. Issues are split between the public (citizen) interface and the admin interface. Possible solutions to these issues are outlined. The split of a Place and Partner across two pages, when the Place is the location of the Partner and they both have the same name, has great potential for confusion: Each page shows different kinds of information that depends on a context that may not be obvious to the viewer. Each page also shows an events list but the lists are generated in different ways and may have different items. Either page could effectively become a defacto landing page via a search engine. Default views may therefore become inconsistent across different organisations. The distinction between the two contexts (who? and where?) does not have a strong justification at the UI level. Stakeholders and potential stakeholders currently have no way of seeing the relationships bewteent the various organisational and spatial entities in the system. This is a lack of potentially useful information: What venues does has this organisation held events at in the last 6 months? What projects are managed by this organisation? What organisations held events here in the last 6 months? What organisations are co-located here? We are keen to maintain the current flexibility with respect to allowing admins to add incomplete information about entities and still have those entities appear on the website, however this does create a quality issue. For instance, we currently display ""placeholder"" entities if the only information for that entity is a title. Adding mandatory fields in the admin interface is not an option. We cannot presume in advance to know what information will be available. Information on the site about organisations and locations has come from different sources. Stakeholders and potential stakeholders currently recieve no cues about how accurate and up-to-date such information is. It may be useful to provide some cues. The ""home"" page of the admin interface is a list of entities. The main navigation links are the names of entity types and their target pages include the option to create a new entity of the relevant type. This interface is close to a literal interpretation of the model schema. It does not guide admins who have no need to understand the finer distictions between different kinds of entity. At the moment, the admin interface requires admins to understand the difference between a Partner and a Place and to create/edit one or both of these entities for a given organisation. This need for understanding about DB-level entities can be ameliorated to a large degree by implementing a more task-oriented UI (above). We could do more than this too. Some entities have multiple ""slots"" for contact details. These slots may require duplication of content (same person as contact in multiple contexts) and limit each kind of contact to one set of contact details. Combine the ""who?"" and the ""where?"" into a single view when appropriate. If the admin interface guides admins to add organisational and location data together then we can link these two DB entites behind the scenes. The super-admin interface would still allow us to manually edit this info. Pick a sensible default way of generating the events list for the combined view and allow people to change this manually. (Organised by, Hosted at, logical OR, logical AND.) Add a way to record relationships between organisations and show these relationships to site visitors. Use stored events to determine and show organisation-location relationships. Automatically determine whether an entity has sufficient information to presented on the website. This could be done at edit-time (stored status) or display-time (calculated just-in-time). Filter views based on sufficiency of information. Add a status to entities that describes how the information is obtained, e.g. Supplied by a 3rd party. Obtained in a one-off collaboration with the relevant organisation. Directly managed and updated by the relevant organisation. This should be easy to add to admin workflows. Also, editing by users who are known to be members of given organisations could be recorded without requesting this info from the editor. (Direct edits through the super-admin interface could be supported for technical users.) We could also display the date that information was last edited and optionally by who. Provide a list of tasks to accomplish on the admin home screen. Have these tasks lead to multi-page forms in order to keep the total amount of information on a page low, and to segue smoothly through different contexts (e.g. combained Partner/Place). Use vernacular cues, e.g. progress display along the top of a multi-page form. On submission, provide logical follow-up options and an option to return to the home page, i.e. to the original list of tasks. We discussed solutions for this but I think they could be implemented to different depths. Shallow approach: Use language within the admin UI to make the distinction more obvious. This may mean talking about ""organisations"" and ""locations"" (rather than partners and places) or there may be other terms that are better suited. We would need to test these on users. Deeper approach: Make an explicit progression from organisation to Partner, and address to Place. The progression (rather than just the language) and the need to promote entities may link the Partners and Places in a firmer way to more obvious primitives. Allow addition of unlimited contacts. Give facility to tag contacts with roles. This allows, e.g. multiple contacts to recieve notice that a given entity has been updated in PlaceCal, and the same contact to be used for multiple roles with greater chance of consistency and lower chance of entry errors.'";0003-reanalysis-in-terms-of-ux-issues.md;('geeksforsocialchange', 'PlaceCal');Design;The ADR discusses the structure and organization of API function signatures, specifically how optional parameters are represented and passed within the system. This pertains to the logical design and interface organization of the API, which falls under Design related to system structure and API patterns.;0,85;;0.0
"'the gcs library uses optional fields only for sub-objects. accepted because the underlying protocol for GCS is JSON, any field can be absent from the responses received from the server. Furthermore, the application can use the fields query parameter to select a subset of the fields in a response. A natural question is whether the fields should be represented as optional<T>. That is, whether the class to represent object attributes should look like this: C++ class ObjectMetadata { public: std::string const& name() const; std::chrono::system_clock::time_point time_created() const; CustomerEncryption const& customer_encryption() const; }; or it should look like this: C++ using google::cloud::optional; class ObjectMetadata { public: optional<std::string> const& name() const; optional<std::chrono::system_clock::time_point> time_created() const; optional<CustomerEncryption> const& customer_encryption() const; }; For string fields where there is no semantic difference between an empty string and the field not present we just use std::string<>. For array fields where there is no semantic difference between field not present and an empty array we just use std::vector<>. For integer and boolean fields we default to 0 (and false) if the field is not present. For object fields we default to wrapping the field in optional<>. For fields wrapped in optional<> we offer convenience functions to make it easier to operate on these fields. For a field called foo these are: has_foo() returns true if the field is set. foo() returns the field value if set, the behavior is undefined if the value is not set. foo_as_optional() returns the optional field. reset_foo() resets the field (for writable fields). set_foo() sets the field (for writable fields). The advantage of this approach is that most fields are easy to use most of the time. The disadvantage of this approach include: The ambiguity when the application filters the returned fields, the value may be the default value because the client did not get the field. As applications change over time and they start filtering different fields the code may assume that the value of a field is valid, but it has a default value. With optionals the application should crash during testing, or may be programmed defensively since the start. It also requires more thought designing the classes a field has different semantics for ""not there"" vs. ""the default value"". Reference This was originally discussed in #934. The original PR also has some interesting discussions.'";2018-10-30-storage-metadata-fields-and-optional.md;('googleapis', 'google-cloud-cpp');Design;The ADR describes transforming the system's user interface into WYSIWYG blocks, involving porting templates, rendering components, and editing in-place, which are core aspects of system structure and UI organization.;0,85;;0.0
"'description: turn p4 blocks into wysiwyg blocks. Status: accepted Deciders: Development & Design teams Many blocks look broken in the editor. The editing experience was just ported from the old Shortcake blocks but it's not consistent with the native WP editing experience, which is made of WYSIWYG blocks. Turn P4 Blocks into WYSIWYG blocks: Port the Twig template into its JSX equivalent. Try to simplify the templates as much as possible in the process. Deliver React in the frontend site and use it to render the blocks. Turn the LayoutSelector component options into block styles for each block Use the RichText component where possible for in-place editing. A WYSIWYG (""What You See Is What You Get"")  block is a block you can edit directly in place, in the preview mode. The way to think about WYSIWYG controls is starting from the final result, for example, this is a Counter block: To make it editable in-place, as it is, Wordpress provides two basic ways: Making some texts editable by clicking on them (e.g.: title, caption) Moving options to the sidebar, specially for any controls that are pure configuration and not visible, for example: progress bar vs dial styles, an API url, or the tags for an Articles block, etc. This is not specific to this issue but this is a list of places in the UI in which we can inject things with Gutenberg: https://developer.wordpress.org/block-editor/developers/slotfills/\ This is pretty much the way native WP blocks work, the basic principle is: there should be nothing in the editor side that is not rendered in the frontend. No noise. So how do we clean our UI to the point that there is nothing but the block itself (currently the ""Preview"")? For example, let's start analyzing the Counter block, from top to bottom:\ \ What style of counter do you need? This option changes the layout but is not a visible element of the frontend, so it should go on the sidebar. The old shortcake UI used to cover the editor, so you weren't able to actually see how the block would look while configuring it, now there is no need for so many thumbnails and explanations, since you'll be able to see the changes immediately.\ There is native Wordpress way of doing this, it's documented here: Automattic/gutenberg-block-styles: An example of a simple plugin that adds a block style to Gutenberg. So we should probably convert this Layout Selector component into ""block styles"" for all of our blocks.\ \ Title and Description These are pure texts, and they are rendered as-is on the frontend. In this case, these fields should be removed, and we should make the Title and the Description editable in the block's Preview. \ Completed, Target, Text and API URL These four settings are used to assemble the final text of the Counter block. As the text uses placeholders, we can't make it editable in the preview (imagine you type ""%completed%"" and it instantly turns into ""500"" or something), so these four options including their help text should be on the sidebar.\ \ And that's it, the rest is the Preview, where we should get rid of the ""Preview"" title. So, the end result after these conversions is: Before taking a look at our block, let's have a look at WP's native Gallery: The Title and Description, and Button Text can be edited in place, as they are not linked to any dynamic / automatic data from the site. \ \ Then the Link, Open in new tab, Articles Count, Tags, Post Types and Ignore categories options, can be moved to the sidebar.\ \ So the Title and Description in the current view would be editable.\ \ The Title and Description can be edited in place. Rows to display, and Select Tags move to the sidebar.\ \ \ \ So the Title and Description fields are editable in place in the preview mode.\ We could move the covers style to the side bar with the block styles option. « Rows to display » dropdown menu could move to the side bar. Title & description could be editable in place. « select tags » + « select posts types» + « select posts » fields could move to the side bar. Again, Title and Description are editable in place.\ \ \ \ The rest of the options would move to the sidebar:\ \ \ \ Title and Description in the Preview mode. There is no preview for the Social media feed.\ \ \ The ""Layout Selector"" moves to the sidebar using WP's ""block styles"".\ \ \ \ Then multiple columns can be added to the Columns block. The cheapest thing would be to add the ""Add / Remove Column"" options to the sidebar, but we have other alternatives:\ \ \ For example, we could create something like this:\ \ \ And then as you add columns, you'll be able to edit each column's properties. This requires a bit more research.\ \ \ \ This is the current preview, showing the possibly editable fields. Again, the Title and Description fields are editable. The Name and Description fields are editable in-place for both the ""Necessary"" and ""All Cookies"" sections..\ \ \ All titles and descriptions could be editable in place in the preview.\ \ The Happy Point block is just a background. We should probably use the typical UI for uploading pictures in native WP components. Maybe we could add some placeholders to show how the form looks like in the Preview. The current preview:\ \ In this block, the two columns are independent but behave similarly. For the left column, selecting an issue will fill all the fields for you. The Select an issue field could be moved to the sidebar, along with the Issue Link Path (an URL) and the Select an Image button (or we can find a way to have that in the preview). Then the Issue Title, Issue Description and Issue Link Text fields could be editable in place. \ \ \ \ For the right column, selecting a campaign fills all the fields. The Select a tag field could be moved to the sidebar, along with the Campaign Button Link (an URL) and the Campaign Image button (or we can find a way to have that in the preview). Then the Campaign Description and Campaign Button Text fields could be editable in place.\ \ \ \ \ \ \ The style options move to the sidebar: \ \ \ Then these collapsible slides could be collapsible sections in the sidebar, with pretty much the same options.\ \ As the slides move, I don't know if it makes much sense in trying to make the captions editable in place.\ The Title and Description fields of the block can be editable in place. The video poster image option can probably stay as is, it's pretty consistent with some native WP blocks. \ \ Preview:\ \ The Submenu block has no representation in the editor side right now. We could fix that by adding some placeholders (or actually making it work, maybe as a second iteration).\ \ The style chooser can use WP's style chooser mentioned at the top.\ \ \ \ Then the Title could be editable. \ \ \ Currently, it has no output in the preview: The Take Action Box gets all of its data from the Take Action Page option, which we could move to the sidebar:\ \ \ All fields can be overridden, the Title, Excerpt, and Link Text can possibly be edited in place, the Link URL, Open in a New Tab and Select Tags fields can be moved to the sidebar.\ \ The Background Image could possibly be selected in the editor with the same UI Wordpress provides for some of its blocks: \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ The Timeline Block relies heavily on a third party JS library.\ We can make the Title and Description editable. The rest of the options (Google Sheets URL, Language, Timeline navigation position, and Start at End) can be moved to the sidebar. As for the moment of writing this document, the preview does not seem to be working:\ \ These would be the steps to turn the current form into a WYSIWYG one. The Layout Selector can be converted into a Block Style. Engaging Network Live Pages and Select Goal can be moved to the sidebar.\ The Title, Description, Content Title, Content Description, Call To Action Text and Text Below Call To Action fields can be editable in place.\ \ The Thank You message settings are not visible unless you submit the form. So we need to decide what to do with those options. Maybe we can have them in the sidebar and have a way to show the Thank You screen on the preview also.\ We decided to include React in the Frontend in order to render the blocks. This avoids having duplicate template logic, otherwise we would have a JSX version of the block for the editor, and a Twig template for the frontend. The save() method is a client-side method expected to output static content, which is persisted as the block's content in the database. The usual way of rendering a dynamic block in Gutenberg is returning null in the block's save() function, then using the ServerSideRender component and render_callback() when registering the block in the PHP side. This is the way our blocks are currently rendered, thus it's the method we are deprecating in favor of the React approach. As any changes in the block's save() method would trigger a validation error in the block editor, we first needed to add a deprecated property to the block, to let WP know that we are OK with our block changing from null to something else. To accomplish this, we created two components: frontendRendered and FrontendBlockNode. frontendRendered is meant to replace the save() function in a block definition. It returns a function with the same parameters as the save() function, so it takes two arguments: attributes and className. So the function returns a FrontendBlockNode which renders an empty div with some data attributes, which will be the placeholder for the block in the frontend site. This content is static and can be persisted safely to the database. So Wordpress will only render that div with its attributes in the frontend site, then it's our job to make React render something inside of it. This is done in the frontendIndex file, which has a new entry point in our webpack config, and iterates through these placeholder divs to render the blocks inside using React. This is the native Gallery block: The media library UI for the native Gallery block has a slightly different look, we could investigate that to provide custom titles like ""Create Gallery"" in the UI.\ \ Another example: Then most options live on the sidebar. There is no way to select focus points on the native Gallery. These are the options for links.\ \ The Layout Selector should be converted to Block Styles:'";adr-0003-wysiwyg-blocks-architecture.md;('greenpeace', 'planet4-docs');Design;The ADR primarily discusses a new syntax and methodology for structuring CSS variables within SCSS, focusing on how to organize and generate CSS code for theming purposes. It involves structuring code for better readability and maintainability, which pertains to the logical organization and design of the CSS architecture.;0,75;;0.0
'package manager proposed The project can either use npm or yarn as the package manager. This should be an either/or situation but a number of issues have been encountered when using yarn including: yarn login still prompts for a password at release time which doesn't work with np publishing with yarn leaves only the index.js file in the lib directory Use yarn and fix the existing issues Yarn is more widely used across the team's, and wider department's, projects so it would present a more consistent approach. There are more examples of common tasks written in yarn from our existing projects and developer's are more likely to default to running yarn commands. Use npm Given that issues have been encountered using yarn and the fact that npm provides a working alternative with no obvious drawbacks (save the more common use of yarn in the department), it's not worth fixing the yarn issues. Use npm but use the script pattern to make it (more) opaque to the user The script pattern abstracts the choice of package manager (and the implementation of various tasks) away from the user. This would allow whichever tool was the best fit to be used across all projects whilst maintaining a consistent experience for developers. Use npm with the script pattern. Any common tasks (e.g. lint, test, build) should have a script defined in the script directory. Any scripts run by CI should also be stored in this directory. Using the script pattern allows us to present a consistent interface whilst using whichever tool works best. Further to that, it makes it easier for new developers coming to a project as they don't have to know the specific commands to perform each task. Instead, they can easily see the available commands and run them simply by name. This pattern becomes increasingly useful the more projects it is used in as developers get used to going to the ./script directory rather than running command directly. Without common usage across the team it risks becoming a third standard rather than a replacement for the previous two (Relevant XKCD).';003-package-manager.md;('guardian', 'cdk');Organizational/Process;The ADR describes establishing a formal process for conducting technical reviews of third-party integrations, including defining a format, responsibilities, and procedural steps. This pertains to team workflows and decision-making processes rather than system design, technology selection, or infrastructure.;0,75;;0.0
'componentisation solution as a monorepo Our componentisation solution includes a framework for building components, a library of shared components and a service that generates HTML for the dotcom frontend (and maybe for other applications too). We can potentially pull out sharable code into their own repos, or keep all our componentisation code together in the same repo. Having multiple repos expresses the intention that parts of our code can be used in different applications (e.g. the GUUI component library). However, it slows down development and adds complexity. It would become necessary to clone and symlink multiple codebases, for instance in order to work on a shared component, add some new colours to pasteup and then view it in the context of dotcom. There is also the problem of discoverability, and knowing how the various codebases link together. We will keep all the code for componentisation solution in one repo makes the dotcom frontend easy to setup. The code shares code style rules, keeping it consistent. We will organise the code as a monorepo, expressing the intention that some of our code (GUUI and Pasteup) should remain decoupled from the dotcom frontend website. Changes to these libraries will be published separately. Approved';005-monorepo.md;('guardian', 'dotcom-rendering');Design;The ADR focuses on organizing how components and content rendering are structured and demonstrated, specifically through the use of Storybook for component visualization and documentation. This pertains to the logical organization and presentation of system components, aligning with design and component structuring decisions.;0,75;;0.0
'amp We have an established aim of rendering content in Dotcom Rendering. This will dramatically improve the developer experience (measured in time to new features, time on maintenance). AMP is a good candidate for early migration to the new platform: It is simpler than ‘full’ content types It is a discrete piece of functionality It receives a large volume of traffic, which will help validate the performance of our new platform It receives relatively little development outside of the Dotcom team, reducing risk during the migration period There are also some downsides. In particular: It is relatively ‘static’ (rarely developed on) so the developer experience benefits are likely less than for some non-AMP content, such as articles or liveblogs It is quite possible though that Google will weight AMP more heavily going forward, pushing us to develop the platform more than we have done so in the past. To implement AMP using dotcom rendering. Approved';012-amp.md;('guardian', 'dotcom-rendering');Technology;The ADR focuses on choosing a specific library (Preact) as a replacement for React, which is a technology selection decision involving frameworks and libraries.;0,80;;0.0
'javascript loading The existing site (Frontend) includes Javascript in a variety of ways: inline script tags dynamically added script tags There is a single (universal) boot process which conditionally loads additional JS as required based on page metadata. For Dotcom Rendering we want to simplify things so that it is easy for a developer to know where to add a script/functionality. We also want an approach that helps ensure good performance and, related, which is less monolithic. Load scripts in the head as deferred, or as async at the bottom of the HTML body section All other script loading (other than for commercial third-party code) is prohibited We will not use a universal 'boot' JS file, but load scripts which have a unique purpose and which are self-contained aside from a few shared helpers Fuller discussion of this approach can be found here: https://docs.google.com/document/d/1EnkowJ7BFumrqkpkRacRl-gSkiJs9fUgRCixQTLxBvo/edit#. Approved';017-javascript-loading.md;('guardian', 'dotcom-rendering');Design;The ADR primarily discusses the implementation of a 'click to view' system, which involves structuring how third-party embedded content is handled, including overlays, hydration, and conditional rendering. These are architectural concerns related to the logical organization and behavior of the system components responsible for embedding and controlling third-party content, fitting within Design about system structure and component interactions.;0,75;;0.0
'architecture diagrams The editions backend is a fully serverless microservice architecture. Sounds cool huh? Well, it is. We're running all the boxes and arrows shown below for a pretty small AWS bill. The only backend users ever hit is made up of static files in S3 - cheap and very available! Woohoo. One downside is that there are quite a lot of boxes to be dealing with, and each arrow or 'integration point' probably involves some kind of AWS IAM policy determining what can talk to what. In a recent architecture review a proposal was made to reduce complexity by merging the editions-preview-backend and editions-published-backend lambdas, as they essentially do the same thing. We could also get rid of the listener lambda, and replace it with a HTTP endpoint on the editions backend lambda. We'd also like to rename the 'backend' lambda to something a bit more specific, such as 'editions-api'. However, the below architecture has been working fairly reliably for a long time now so no justification for radical changes just yet. Your best bet to decipher the diagram below is to talk to Phil, Mohmmad, Alex W or Justin R. Hopefully it's useful for you! Please Note: This has now been removed from the project Editions has a logging stack to get logs from the client into Kibana. It's very simple - just a lambda that logs everything you POST to it, which goes into cloudwatch logs, and from there gets picked up by cloudwatch-logs-management and stuck into ELK. Only downside is that API Gateway and Cloudwatch logs are PRICEY so we've stuck Fastly in front of the service to give us a way of easily controlling how many requests make it through to the backend, without making client side changes.';10-architecture-diagrams.md;('guardian', 'editions');Organizational/Process;The ADR primarily discusses strategies for organizing work, including branching and release processes, team responsibilities, and deployment workflows, which are characteristic of organizational and process-level decisions rather than purely technical or architectural design choices.;0,75;;0.0
"'continuous integration Status: accepted Deciders: devs, devops Date: 25.05.2020 We need to maintain the quality of the codebase, minimize the time between introducing quality degradation and discovering it and make sure we have deployable artefacts at all times. In the context of a monorepo we need to do this efficiently in order to make this process scale for an ever-growing number of projects in the repository. The code integration process needs to be independent from CI platform integration Benefits Easier troubleshooting and development of the process Easier migration to a different CI platform Easier experimentation Easier to run as part of the development process Drawbacks Needs more knowledge and experience We use Docker as much as possible to implement the steps in the integration process Benefits Platform independence Repeatability Security Drawbacks: Needs expertise in Dockerfile and Docker in general We only build the code affected by the change but re-tag all unchanged code artefacts Benefits Be able to release a consistent version of all necessary services. The Docker images for all services in the monorepo should have the same Docker image tag available for a commit hash Supports the monorepo benefits and ideology Drawbacks Can be tricky, especially for artefacts that are not Docker images(currently we do not plan to have those) We support only Linux as a target operating system when we cannot use Docker Benefits Same as the OS we use in our production environment, which minimizes the chances of failure because of OS differences We minimize the effort and complexity of supporting different operating systems Linux tooling works on all major other OSs today - macOS and Windows Drawbacks: Devs that use non-Linux OS might need to install additional software and customizations We only considered hosted solutions at this time to minimize the number of systems we need to maintain. Migrating to a different platform should not be a big or risky endeavour. They are merely convenient integrations with the code repository, cache hosting and notifications. GitHub Actions Benefits Well integrated with our code which is in GitHub Due to the integration we do not need to provide Well documented Supports self-hosted runners Well priced (free, not sure if there is a limit) Drawbacks Relatively new Circle CI Benefits Mature Well-known Supports self-hosted runners Not sure if parallelization is supported on open-source projects Drawbacks It will cost us (they have a free tier but with a limit which seems we will likely reach) AWS CodeBuild Benefits Scalable builds Best security model when part of our AWS account structure Reasonably priced? Drawbacks UI is kind of bad GitHub Actions Number 1 CI platform on GitHub at the time of this writing Easy customization of which parts of the CI process to run depending on branching patterns and pull requests Good integration of code health with the pull request process As a GitHub open-source project, we have an unlimited number of ""compute""-minutes that come as a part of the package Supports parallelisation of the process which can be pretty important in the context of monorepo Support using own runners which can be helpful to maximize speed, minimize costs and increase security. code integration - this is a process that checks the integrity/quality of the code - static code analysis, code formatting, compilation, running automated tests, etc. The process is usually in the form of one or more scripts and uses tools local to the repository with minimum external dependencies. artefact building - this is a process that packages artefacts, labels them and usually publishes them to a central artefact repository so that they can be used by the deployment process. This process makes sense to be executed only after code integration process finishes successfully. continuous integration - the practice of running the code integration process triggered by events such as pushing new revisions of the code to the code repository opening a Pull Request fixed schedule etc. We also run the artefact building process after a successful code integration process to have artefacts ready for deployment at all times. continuous integration platform (CI platform from here on) - it is a platform (self-hosted or SaaS) that provides integrations to make it easy to run your continuous integration and publish the results'";0002-continuous-integration.md;('guttih', 'island.is-glosur');Design;The ADR primarily concerns selecting a static site generator (SSG) that aligns with project requirements such as markdown support, customization, and technical direction. This decision impacts the system's structure and the choice of tools used to build the system's documentation and content presentation, which are core aspects of system design.;0,85;;0.0
'css Status: accepted Deciders: devs Date: 2020-05-26 We're building websites and web applications that share a common design system with reusable components. How do we write CSS styles in a way that is performant and safe? Should be performant, with code splitting, caching and minimal runtime overhead. Needs to have easy access to our design system constants. These should optimally be shared with JS logic. Should be type-safe to catch issues when refactoring. Reusable components should be closed, not accepting arbitrary styles/classes. We want a pattern for responsive props with atomic layout components. CSS Modules with SASS/PostCSS Styled Components Treat Chosen option: Treat, because it combines the best of both worlds from CSS-in-JS and CSS modules. We'll create shared components that have responsive props, but are otherwise closed for modifications. Theme variables are defined in a shared library with TypeScript. Example: Treat is statically extracted at build time, so it has minimal runtime. Styles load in parallel with JS, also when code splitting. Styles are written in TypeScript which gives us type safety when referring to shared variables, styles and helpers. Styles are in special files, separate from markup and components giving us clear separation with good visibility into the rendered markup. We can pull in responsive layout component patterns from [Braid], which gives us a good base to lay out components and pages. We are choosing a pretty new framework, so it may 1) have bugs or issues, 2) be an obstacle for new developers or 3) be discontinued. When we're generating responsive styles at build time we need to be mindful at how many variations we allow (eg media queries, columns, whitespace), since they can easily bloat our CSS with unused styles. Good, because it builds on top of standard CSS syntax which everyone knows. Good, because it has no runtime. Good, because it is separate from markup. Bad, because it is messy to generate advanced styles in a CSS-based language. Bad, because it's not type safe. Good, because it's the industry leader in CSS-in-JS. Good, because it allows rendering pages with no redundant styles. Good, because it has excellent developer experience, making it easy to implement dynamic styles based on theme/props. Bad, because it's runtime may significantly affect site performance. Bad, because it hides the markup which may cause accessibility issues.';0003-css.md;('guttih', 'island.is-glosur');Technology;The ADR primarily concerns selecting specific protocols (OAuth 2.0 and OpenID Connect) for authentication and authorization, which are technology standards and frameworks. The decision revolves around choosing established protocols based on their features, security, and compatibility, fitting squarely within technology selection rather than broader architectural or organizational categories.;0,85;;0.0
