ADR,Organization-Project,primary_category,explanation,max_confidence_value
ADR033-redirect-http-for-applications.html.md,"('alphagov', 'paas-team-manual')",Design Decisions,"The ADR focuses on a high-level architectural approach to handling HTTP to HTTPS redirection, involving system routing and endpoint configuration, which are core aspects of system structure and behavior.",0.7
adr-005-forking-frontend-components-from-govuk-frontend.md,"('alphagov', 'publisher')",Design Decisions,"The ADR focuses on a specific architectural choice related to forking and integrating frontend components, which pertains to the structure and organization of frontend components within the system. It discusses the decision to fork a frontend library and how to manage its integration, aligning with design-level considerations.",0.85
0004-pin-versions-of-jenkins-and-plugins.md,"('alphagov', 're-build-systems')",Technology Decisions,"The ADR primarily discusses options related to supporting and managing Jenkins and its plugins, which involves selecting specific versions, hosting options, and deployment strategies. These are centered around the choice and management of technologies and platforms, fitting the 'Technology Decisions' category.",0.75
adr-003-popularity-updating-without-index-locks.md,"('alphagov', 'search-api')",Technology Decisions,"The ADR discusses specific technical strategies for updating index data, including the use of external versioning and index management techniques in Elasticsearch. It focuses on the implementation details of data update mechanisms, which are inherently technical choices involving the technology stack and data handling methods.",0.7
0003-use-files-to-store-private-keys copy.md,"('alphagov', 'verify-onboarding-prototypes')",Implementation Decisions,"The ADR focuses on a specific implementation detail—storing private keys in files—rather than high-level architectural patterns, technology choices, or organizational processes. It discusses a particular method of handling private keys within the system's implementation, which aligns with internal code or configuration decisions rather than broader architectural concerns.",0.8
20190327-hashing-attributes.md,"('alphagov', 'verify-proxy-node')",Others,"The ADR focuses on implementing a security control—hashing user attributes to ensure data integrity and authenticity—which directly relates to system qualities such as security and trustworthiness. The decision aims to enhance confidence in the system's security posture by verifying data consistency, a typical concern of quality attributes.",0.6
0021-we-will-use-http-200-for-valid-saml.md,"('alphagov', 'verify-service-provider')",Design Decisions,"The ADR primarily concerns the logical structure and behavior of the API response handling, including how to represent different outcomes and error scenarios within the system's communication protocol. It focuses on the design of response formats, status codes, and enums, which are core to the system's architecture and interaction patterns.",0.85
0024-release-process-for-verify-service-provider.md,"('alphagov', 'verify-service-provider')",Organizational/Process Decisions,"The ADR primarily describes a release process workflow, including steps for approval, signing, and distribution, which pertains to team procedures and operational practices rather than system structure, technology choices, or quality attributes.",0.7
0010-shape-annotation-types.md,"('aml-org', 'amf')",Design Decisions,"The ADR focuses on defining annotation types to enable traceability and modeling of source information within a system. This pertains to the logical organization and structure of how source metadata is represented and managed, which aligns with design-level decisions about system modeling and architecture. It does not specify technology choices, infrastructure, organizational processes, constraints, quality attributes, crosscutting concerns, or implementation details, but rather the conceptual framework for annotations within the model.",0.85
0009-source-information-node-storing-source-locations.md,"('aml-org', 'amf-core')",Design Decisions,"The ADR describes a structural change to the data model by defining a new node (BaseUnitSourceInformation) and its fields, which pertains to the organization and structure of the data within the system. It focuses on how source location information is stored and represented, which is a design aspect of the system's data model.",0.85
0004-keep-qa-and-devs-html-selectors-separate.md,"('anilewek', 'adr')",Organizational/Process Decisions,"The ADR primarily addresses a decision about how different teams (QA and Development) will organize and maintain their respective sets of selectors, and the process of their separation and maintenance. It involves team responsibilities, workflows, and coordination rather than technical or architectural design choices.",0.7
ADR-20-explorer-settings-panel-architecture.md,"('anilewek', 'adr')",Design Decisions,"The ADR describes the architecture of a settings panel, focusing on the logical organization, structure, and decomposition of the system into panels, sections, widgets, and controls. It details how components are instantiated, configured, and interact, which aligns with design decisions related to system structure and modularization.",0.85
ADR-32-wearable-committee-reverts.md,"('anilewek', 'adr')",Design Decisions,"The ADR discusses the approach to how wearable versions are specified and validated, focusing on the method of hashing metadata and content to ensure integrity and proper deployment. This pertains to the logical organization and structure of the system's versioning and validation mechanism, which falls under design decisions related to data modeling and system logic.",0.85
ADR-43-catalyst-api-refinment.md,"('anilewek', 'adr')",Technology Decisions,"The ADR primarily discusses changes to API endpoints, including deprecations, additions, and modifications, which are directly related to the selection and management of technologies and protocols used in the system. It focuses on refining the API protocol, improving performance, security, and internal tooling, all of which are technology-related decisions.",0.7
ADR-46-royalties-manager-v1.md,"('anilewek', 'adr')",Design Decisions,"The ADR focuses on defining a module (Royalties Manager) that interacts with on-chain interfaces to determine the recipient of royalties, which pertains to the logical organization and interaction of system components. It specifies an interface and the logic for retrieving royalties receiver addresses, aligning with design and component structuring rather than technology, infrastructure, or other categories.",0.85
0003-cqrs.md,"('anton-liauchuk', 'educational-platform')",Design Decisions,"The ADR describes the adoption of the CQRS pattern, which pertains to the logical organization and structure of the system, specifically how read and write operations are separated and optimized. This is a classic example of a design decision related to system architecture patterns.",0.85
0003-distributed-workqueue.md,"('apache', 'james-project')",Technology Decisions,"The ADR primarily discusses the selection and configuration of a specific messaging technology, RabbitMQ, to implement a distributed work queue. It details the use of RabbitMQ queues, message acknowledgment strategies, and specific queue properties, which are characteristic of technology choices.",0.8
0005-distributed-task-termination-ackowledgement.md,"('apache', 'james-project')",Design Decisions,"The ADR focuses on the design of a distributed task management system, specifically on how events related to task termination are propagated across nodes. It involves decisions about event handling, broadcasting mechanisms, and system components, which are core to the system's architecture and logical organization.",0.75
0024-polyglot-strategy.md,"('apache', 'james-project')",Technology Decisions,"The ADR explicitly discusses implementing components and mailets in Scala, which involves selecting and applying a specific technology (Scala) to enhance the system. The focus is on choosing a language to implement parts of the codebase, aligning with technology decision scope.",0.7
0026-removing-configured-additional-mailboxListeners.md,"('apache', 'james-project')",Organizational/Process Decisions,"The ADR primarily discusses implementing an event sourcing mechanism to track and manage mailbox listener groups, which pertains to team processes, auditability, and operational workflows within the system. It focuses on how to organize and control the management of listener configurations, rather than on the system's structural design, technology choices, or infrastructure.",0.6
0028-Recompute-mailbox-quotas.md,"('apache', 'james-project')",Organizational/Process Decisions,"The ADR describes implementing a corrective task accessible via webadmin, which pertains to operational procedures and workflows rather than system structure, technology choices, or quality attributes. It involves process-level decision-making to address data inconsistency issues.",0.6
0035-distributed-listeners-configuration.md,"('apache', 'james-project')",Design Decisions,"The ADR primarily discusses the configuration, registration, and management of mailbox listeners within a distributed system, focusing on how components are organized and interact. It involves defining how mailbox listeners are added, removed, and synchronized across nodes, which pertains to the logical structure and organization of the system's components and their interactions.",0.85
0042-applicative-read-repairs.md,"('apache', 'james-project')",Design Decisions,"The ADR primarily discusses implementing a new approach to handle data consistency and auto-healing mechanisms at the application level, which pertains to the logical organization and behavior of the system. It focuses on how the system manages data integrity through applicative read repairs, which is a design-level concern affecting the system's architecture for data consistency and performance.",0.75
0050-jmap-web-push.md,"('apache', 'james-project')",Design Decisions,"The ADR primarily concerns the design and implementation of a web push notification mechanism within the system architecture, including protocols, storage, event handling, and integration points. It focuses on how the system is structured to support real-time notifications, which are core to the system's architecture rather than just technology choices or organizational processes.",0.85
0003-have-the-master-documentation-in-the-readme.md,"('arachne-framework', 'architecture')",Organizational/Process Decisions,"The ADR focuses on establishing a team onboarding process through documentation practices, specifically emphasizing the importance of the README as a key resource for new team members. This pertains to team workflows, responsibilities, and organizational standards rather than technical or architectural design choices.",0.75
0003-monitor-condition-and-data-selectors.md,"('arachne-framework', 'architecture')",Design Decisions,"The ADR primarily discusses the organization and structure of data exposure within the system, including how data is fetched, managed, and presented in the UI. It defines the logical flow and interface considerations, such as the fetch, manage, and view layers, and how data selectors are handled, which are core aspects of system design and architecture.",0.85
0019-GPIO.md,"('arachne-framework', 'architecture')",Technology Decisions,"The ADR primarily addresses the decision to stop accepting core integrations that directly interface with GPIO hardware, which involves selecting a particular approach to hardware interaction and platform support. It discusses the handling and deprecation of integrations based on their use of GPIO, a specific technology/hardware interface.",0.7
adr-015-data-abstraction-model.md,"('arachne-framework', 'architecture')",Others,"The ADR focuses on defining a common, abstract data model and manipulation API to enable database-agnostic data persistence and interoperability, which aligns closely with architecture design decisions related to data modeling and abstraction layers.",0.85
0010-archivematica-original-design-principles.md,"('archivematica', 'archivematica-architectural-decisions')",Design Decisions,"The ADR primarily discusses the architectural principles and structural approach of the system, such as using file system as the focal point, micro-services, and standards for AIP generation. These are core to the logical organization and design of the system, fitting squarely within design decisions.",0.85
0006-use-row-level-security-in-postgres-to-implement-multitenancy.md,"('avniproject', 'openchs-adr')",Constraints,"The ADR primarily addresses mandatory conditions imposed by the business or regulatory requirements, such as data isolation and security constraints for multitenancy, which directly relate to constraints category.",0.6
0004-api-key.md,"('awslabs', 'aws-sync-routes')",Technology Decisions,"The ADR focuses on selecting a specific technology (API Gateway API keys) to control access to an API endpoint, which is a clear example of a technology choice impacting system security and access control.",0.7
adr-0002-backend-language-framework.md,"('azavea', 'pfb-network-connectivity')",Technology Decisions,"The ADR primarily concerns the selection of a specific backend framework (Django with Django Rest Framework) and programming language (Python), which are technology choices. While it mentions some aspects related to integration and familiarity, the core focus is on choosing the technology stack to facilitate development.",0.8
2019-05-09-modular-architecture.md,"('bbc', 'digital-paper-edit-client')",Design Decisions,"The ADR primarily discusses the modular architecture and organization of repositories and packages, which pertains to the logical structure and decomposition of the system. It explores how to split components (UI, API, infrastructure) into separate packages and repositories, aligning with design principles for system organization.",0.85
2019-09-28-time-estimation-for-links.md,"('bbc', 'digital-paper-edit-client')",Design Decisions,"The ADR primarily concerns the method of estimating voice over durations, which involves choosing an approach to structure and organize the calculation logic within the system. It discusses different algorithms and their implementation, indicating a focus on the logical design of the feature rather than technology selection, infrastructure, or organizational processes.",0.75
ADR-003-handling-duplicate-node-ids.md,"('bbc', 'lrud')",Design Decisions,"The ADR focuses on the internal structure and logic of node registration within the LRUD system, specifically addressing how IDs are managed and the implications for internal data organization and API behavior. This pertains to the logical organization and data modeling aspects of system design.",0.85
2018-10-02-component-fonts.md,"('bbc', 'react-transcript-editor')",Design Decisions,"The ADR discusses the choice of font styles and inheritance for a component, focusing on how the component should be styled and integrated within the application. This pertains to the logical organization and styling structure of the component, which aligns with design decisions related to component styling and structure.",0.75
geocoder.md,"('bcgov', 'PIMS')",Technology Decisions,"The ADR focuses on integrating an external geocoding API (Data BC Geocoder), which involves selecting and utilizing a specific technology platform or service. This decision pertains to choosing a particular technology resource to enhance system functionality.",0.8
0012-can-t-use-esbuild.md,"('ben-biddington', 'news')",Technology Decisions,"The ADR discusses technical challenges related to the build tool 'esbuild', including configuration options, external dependencies, and runtime issues. These are centered around the selection and configuration of a specific technology (the build tool and its options).",0.8
0003-use-typescript.md,"('benjamminj', 'portfolio')",Technology Decisions,"The ADR explicitly discusses the choice of using TypeScript for the project, which pertains directly to the selection of a programming language and development tools. This decision influences the technology stack and development environment.",0.8
0018-backwards-differential-solver.md,"('biosustain', 'Maud')",Technology Decisions,"The ADR discusses switching between different ODE solvers within the Stan framework, focusing on the selection and stability of specific computational tools and algorithms. This pertains to the choice of computational methods and software components rather than system structure or organizational processes.",0.75
adr_python-dev-env.md,"('boxwise', 'boxtribute')",Technology Decisions,"The ADR primarily discusses the selection and configuration of specific tools, libraries, and environments (e.g., pytest, black, flake8, pre-commit, venv), which are technology choices that influence the development environment and tooling stack.",0.75
0004-layered-architecture.md,"('budproj', 'architecture-decision-log')",Design Decisions,"The ADR explicitly discusses the adoption of a layered architecture pattern, which pertains to the logical organization and structure of the system. It defines how different parts of the system are decomposed and interact, aligning with design principles rather than technology, infrastructure, or organizational processes.",0.85
007-package-repository.md,"('budproj', 'unfinished-design-system')",Technology Decisions,"The ADR primarily discusses the choice of a package repository platform (GitHub Packages), which is a technology selection decision involving tools and services used in the development environment. Although it touches on deployment considerations and future plans, the core focus is on selecting a specific technology platform.",0.7
0010-jpa-manages-schema.md,"('buildit', 'bookit-api')",Technology Decisions,"The ADR discusses the use of Hibernate's ddl-auto feature for schema management, which pertains to the selection and configuration of a specific technology (Hibernate ORM) and its behavior. It does not primarily focus on system structure, deployment environment, team processes, constraints, or quality attributes, but rather on the choice of a particular technology feature.",0.8
0005-use-aws-rds-aurora-mysql-for-database-persistence.md,"('buildit', 'digitalrig-metal-aws')",Technology Decisions,"The ADR explicitly discusses selecting a specific technology platform—AWS RDS Aurora MySQL—for database persistence, which directly pertains to technology choices.",0.9
6_package-module-support.md,"('button-inc', 'service-development-toolkit')",Design Decisions,"The ADR focuses on the support and organization of module packaging formats, which pertains to the logical structuring and organization of the system's module support strategy. It discusses how modules are imported and supported across different environments, which is a structural aspect of the system's architecture.",0.85
zindex-values.md,"('cbinsights', 'form-design-system')",Design Decisions,"The ADR primarily addresses the organization and layering of visual elements through z-index standards, which directly relates to the logical structuring and component layering of the UI. It defines how different UI components are organized and layered, which is a core aspect of system structure and design patterns.",0.85
adr-003-abci-app-rpc.md,"('celestiaorg', 'celestia-core')",Design Decisions,"The ADR discusses whether to expose an RPC server for ABCI apps, which pertains to the system's interface design and how components communicate. It focuses on the architecture of the application's external and internal interfaces, aiming for standardization and code reuse, which are core concerns of system structure and organization.",0.85
adr-020-block-size.md,"('celestiaorg', 'celestia-core')",Constraints,"The ADR discusses setting and enforcing size limits on blockchain blocks, which are mandatory conditions derived from system requirements and protocol constraints. It focuses on defining and managing size boundaries to ensure system validity and resource management, aligning with the concept of constraints.",0.7
adr-021-abci-events.md,"('celestiaorg', 'celestia-core')",Design Decisions,"The ADR focuses on changing the structure of how events are represented and captured within the system, specifically proposing a new data organization (list of events with list of tags). This pertains to the logical organization and data modeling of event representation, which falls under design decisions.",0.75
adr-051-double-signing-risk-reduction.md,"('celestiaorg', 'celestia-core')",Others,"The ADR focuses on implementing a risk reduction method to prevent double signing incidents, which directly relates to system qualities such as security and correctness. The decision aims to enhance the reliability and integrity of the consensus process, which are key quality attributes.",0.6
adr-055-protobuf-design.md,"('celestiaorg', 'celestia-core')",Design Decisions,"The ADR focuses on the choice of data serialization format (Protobuf) and the associated design of type organization and transition strategy, which pertains to the logical structure and organization of the system's data components.",0.85
adr-056-light-client-amnesia-attacks.md,"('celestiaorg', 'celestia-core')",Constraints,"The ADR discusses handling a specific type of malicious behavior (light client amnesia attacks) within the context of existing protocol constraints and the need to adapt evidence handling accordingly. It addresses the limitations and mandatory conditions imposed by the protocol and security requirements, fitting best under Constraints.",0.5
adr-060-go-api-stability.md,"('celestiaorg', 'celestia-core')",Organizational/Process Decisions,"The ADR primarily discusses policies and principles related to API exposure, versioning, and internal/external code organization, which are organizational and process-level decisions affecting how the system's architecture is managed and evolved.",0.75
adr-062-p2p-architecture.md,"('celestiaorg', 'celestia-core')",Design Decisions,"This ADR primarily concerns the high-level architecture and interfaces of the P2P networking stack, including abstractions like Transport, Router, PeerManager, and message routing mechanisms. It defines the overall system structure, communication patterns, and component interactions, which are characteristic of architecture design decisions.",0.85
adr-064-batch-verification.md,"('celestiaorg', 'celestia-core')",Design Decisions,"The ADR focuses on introducing a new interface and method for batch verification of cryptographic signatures, which pertains to the system's logical structure and verification mechanisms. It discusses how verification is performed within consensus and block syncing processes, emphasizing the design of verification workflows and interfaces, characteristic of design decisions.",0.85
adr-067-mempool-refactor.md,"('celestiaorg', 'celestia-core')",Technology Decisions,"The ADR primarily focuses on modifying the mempool's internal data structures and indexing mechanisms to support transaction prioritization, which pertains to the selection and management of underlying technologies and data structures used within the system.",0.6
adr-068-reverse-sync.md,"('celestiaorg', 'celestia-core')",Design Decisions,"The ADR primarily discusses extending the system's architecture to support reverse synchronization of light blocks, involving modifications to the state sync protocol, P2P messaging, and data stores. These are core structural and organizational changes to how the system participates in consensus and manages data, fitting best under architecture design decisions.",0.85
adr-007-header-commit-to-shares.md,"('celestiaorg', 'optimint')",Design Decisions,"The ADR primarily discusses the structure and organization of data within rollup blocks, including how commitments are made to data roots, the layout of shares, and the positioning of headers and footers. These are core aspects of the system's data organization and structure, which fall under design decisions related to data modeling and system architecture.",0.85
0003-choice-of-react.md,"('change-metrics', 'monocle')",Design Decisions,"The ADR focuses on selecting a UI library (React) to structure and organize the client-side application, which pertains to the logical organization and component-based architecture of the system's user interface.",0.85
adr-2018-10-04.md,"('chef', 'automate')",Design Decisions,"The ADR primarily discusses the choice of identifiers' naming conventions, their structure, and how they are used within the system's API and data store. These considerations relate to the logical organization and structure of the system's entities and their identification mechanisms, which fall under design decisions. Although there are mentions of technology (UUIDs) and constraints, the core focus is on how the system is architected to handle naming and identification, making 'Design Decisions' the most appropriate primary category.",0.75
0008-use-linter-for-css.md,"('chunksnbits', 'tooling')",Design Decisions,"This ADR discusses the selection and configuration of tooling (stylelint) and a CSS naming convention (BEM), which directly relates to the logical organization and enforcement of CSS styling standards within the development process. It focuses on how to structure and maintain CSS code, aligning with design and style enforcement strategies.",0.75
0005-implement-minimal-api-abstracting-grimoire.md,"('cljdoc', 'cljdoc')",Design Decisions,"The ADR focuses on implementing a minimal API abstraction over existing data models and storage formats, which pertains to the logical organization and structure of the system's interface and data access patterns. It discusses the design of an API layer, data encoding, and versioning strategies, all of which are core to system architecture and component organization.",0.85
0008-implement-workarounds-for-capi-and-log-cache-to-unblock-global-strict-mtls.md,"('cloudfoundry', 'cf-k8s-networking')",Organizational/Process Decisions,"The ADR primarily discusses implementing workarounds through configuration policies managed by different teams, indicating a focus on team responsibilities, workflows, and operational procedures rather than purely technical or architectural design choices.",0.5
0004-v7-push-refactor.md,"('cloudfoundry', 'cli')",Design Decisions,"The ADR primarily discusses refactoring the internal code structure of the 'push' command to improve modularity, testability, and maintainability. It details how functions are organized, sequenced, and invoked, which directly pertains to the logical organization and decomposition of the system's components. Although it references architectural patterns like hexagonal architecture, the core focus is on the internal design and structure of the code rather than technology choices, infrastructure, organizational processes, constraints, or quality attributes.",0.85
0010-renaming-space-application-suporter-role-to-space-supporter.md,"('cloudfoundry', 'cloud_controller_ng')",Design Decisions,"The ADR primarily discusses changes to data structures (tables) and permissions related to roles, which are aspects of system organization and structure. It involves creating new data models and managing how roles are represented and handled within the system, aligning with design and data organization concerns.",0.7
0004-check-in-copilot-dependencies-that-were-already-vendored.md,"('cloudfoundry-attic', 'copilot')",Implementation Decisions,"The ADR details a specific implementation approach for managing dependencies in the build process, such as checking in vendor code and modifying build steps, which are internal code-level decisions rather than high-level architectural or organizational choices.",0.8
0007-frame-vs-scale.md,"('contiamo', 'operational-visualizations')",Design Decisions,"The ADR discusses issues related to the logical organization and handling of data within a charting system, specifically focusing on how data is ordered, grouped, and visualized. It addresses the structure of data processing (e.g., sorting, grouping, handling missing data) and the implications for rendering charts correctly, which are core concerns of system design and data modeling.",0.75
adr-004-split-denomination-keys.md,"('cosmos', 'cosmos-sdk')",Design Decisions,"The ADR primarily addresses the logical organization and data modeling of account balances, specifically how balances are stored and accessed per account and denomination. It involves structuring data for efficient read/write operations, which falls under system design and data organization.",0.85
adr-006-secret-store-replacement.md,"('cosmos', 'cosmos-sdk')",Technology Decisions,"The ADR primarily discusses the selection and replacement of a specific technology component—the secret store backend—by choosing the 'keyring' library as a new technology solution. It focuses on evaluating and adopting a particular technology to improve security, which aligns with technology decision criteria.",0.8
adr-020-protobuf-transaction-encoding.md,"('cosmos', 'cosmos-sdk')",Technology Decisions,"The ADR primarily discusses the encoding formats, serialization methods, and specific protobuf message types used for transaction encoding and protocol buffer handling. It focuses on the technical specifications of how data is structured and serialized, which aligns with technology selection and encoding standards.",0.8
adr-029-fee-grant-module.md,"('cosmos', 'cosmos-sdk')",Design Decisions,"The ADR primarily discusses the design of a fee grant module, including interfaces, message types, and the integration of fee allowances into transaction processing. It focuses on the logical structure and organization of the system's fee management features, which aligns with architecture design decisions.",0.85
adr-044-protobuf-updates-guidelines.md,"('cosmos', 'cosmos-sdk')",Constraints,"The ADR primarily discusses guidelines and rules for updating Protobuf definitions within the Cosmos SDK, focusing on maintaining backward compatibility and avoiding breaking changes. These are constraints imposed by business and technical requirements to ensure system stability and compatibility, fitting the 'Constraints' category.",0.7
adr-015-ibc-packet-receiver.md,"('cosmos', 'ibc-go')",Design Decisions,"The ADR primarily discusses the design of the IBC packet receiver, including routing logic, message handling, and the integration of verification decorators, which are all aspects of system structure and flow. It focuses on how components interact and are organized to implement the routing and verification of IBC packets, fitting into the logical architecture of the system.",0.85
0004-hexagonal-architecture-for-applications.md,"('croz-ltd', 'klokwrk-project')",Design Decisions,"The ADR explicitly discusses adopting a specific architectural pattern—hexagonal architecture—which pertains to the logical organization, structure, and decomposition of the application. It focuses on defining the architecture style, its characteristics, and how to implement it, aligning closely with design decisions.",0.85
0003-authenticate-frontstage-users-azure-b2c.md,"('cxpartners', 'sepa-customer-platform')",Technology Decisions,"The ADR primarily discusses the selection and configuration of Azure Active Directory B2C for authentication, including options for user flows, custom policies, and domain customization. These are centered around choosing specific identity management technologies and configuring them appropriately.",0.7
0003-for-machine-learning-select-a-vendor-specific-stack-of-a-general-stack.md,"('cyrilbois', 'developer-playbook')",Technology Decisions,"The ADR primarily concerns the selection of a specific machine learning vendor stack, comparing AWS Sagemaker versus Kubernetes with TensorFlow. This decision directly involves choosing a technology platform and tools to implement the data pipeline, which aligns with technology selection rather than other categories.",0.75
API-010-appcallback-versioning.md,"('dapr', 'dapr')",Design Decisions,"The ADR discusses a specific architectural approach regarding API versioning, which pertains to the structure and organization of the API interface. It evaluates whether to implement versioning at the API level or within payloads, directly influencing the API's design and evolution strategy.",0.85
0004-use-client-side-rendering-create-react-app.md,"('dennisseidel', 'saas-platform-frontend')",Design Decisions,"The ADR focuses on choosing a rendering approach (Client Side Rendering) and the associated tooling (Create React App), which pertains to the system's structure, organization, and presentation layer. This decision directly influences the architecture's design, particularly the front-end architecture and rendering strategy.",0.85
0011-persistent-user-identity-proposal,"('department-of-veterans-affairs', 'va.gov-team')",Design Decisions,"The ADR focuses on restructuring how user identity data is modeled and linked within the system, involving the design of database tables and relationships (e.g., 'user_verifications', 'user_accounts', 'credential_user', 'real_user'). It addresses the logical organization and structure of persistent user identity data, which aligns with design decisions related to data modeling and system architecture.",0.85
0002-choice-of-auth-provider.md,"('digirati-co-uk', 'bfi-discovery')",Organizational/Process Decisions,"This ADR documents the decision-making process regarding the selection of an authentication provider, which involves evaluating options based on deployment, maintenance, and feature considerations. It reflects a decision that impacts how the organization manages authentication infrastructure and processes, aligning with organizational or process-level decisions rather than purely technical or architectural design choices.",0.4
ADR Folder structure.md,"('djsing', 'ELEN4010')",Design Decisions,"This ADR specifies a fixed folder structure for organizing project files, which directly relates to the logical organization and structure of the system. It defines how components and files are arranged, impacting maintainability and clarity.",0.85
0008-location-of-testing-features.md,"('dogmatiq', 'dogma')",Organizational/Process Decisions,"The ADR primarily discusses the organizational decision to split testing tools into a separate module, considering versioning, dependency management, and release processes. It focuses on how the development and release process is structured rather than on system design, technology selection, or infrastructure.",0.75
ADR-0006.md,"('dtr-org', 'unit-e-project')",Organizational/Process Decisions,"This ADR primarily addresses adopting a coding style guide and establishing a process for code formatting and merging practices, which are organizational and procedural in nature.",0.75
0002-use-bullet-to-catch-nplus1-queries.md,"('dxw', 'dalmatian-frontend')",Others,"The ADR focuses on improving system performance by preventing inefficient database queries through automated testing, which directly relates to system qualities such as performance and responsiveness.",0.8
0008-use-different-aws-account-for-interacting-with-infrastructure-variables.md,"('dxw', 'dalmatian-frontend')",Technology Decisions,"The ADR focuses on managing AWS infrastructure variables and the decision to handle different AWS client types within the service, which pertains to the selection and handling of specific cloud platform technologies and their integration.",0.7
0005-use-dotenv-for-managing-environment-variables.md,"('dxw', 'rails-template')",Technology Decisions,"The ADR explicitly discusses the decision to adopt DotEnv for managing environment variables, which pertains to the selection and use of a specific technology or library to handle environment configuration.",0.8
0013-use-normalize-css-to-normalize-styles-across-browsers.md,"('dxw', 'react-template')",Technology Decisions,"The ADR explicitly discusses the adoption of Normalize.css, a specific CSS library, to address cross-browser styling inconsistencies. This pertains directly to the selection and use of a technology (a CSS normalization library).",0.8
0005-use-this-repo-as-source-of-setup-scripts.md,"('dxw', 'wordpress-template')",Organizational/Process Decisions,"The ADR primarily discusses a process change—using a specific repository as the source of setup scripts and reorganizing responsibilities between repositories. It focuses on workflows, responsibilities, and repository management rather than system structure, technology choices, or infrastructure.",0.6
003-editor.md,"('ec-europa', 'europa-component-library')",Design Decisions,"The ADR primarily addresses the organization and structure of CSS rules for editors within the ECL system, including how rules are grouped, packaged, and applied. It discusses the separation of CSS rules into different files or presets, which directly impacts the system's architecture in terms of modularity, maintainability, and clarity. These are core aspects of architectural design, focusing on how components and styles are organized and integrated.",0.85
0007 - Nd4j classifiers.md,"('eclipse', 'deeplearning4j')",Technology Decisions,"The ADR primarily discusses the selection and configuration of build and platform extensions for the libnd4j library, including specific compilation options, platform extensions, and linking against different dependencies. These are technical choices related to the build process and runtime environment, fitting best within the 'Technology Decisions' category.",0.75
0007-configuration_objects.md,"('eclipse', 'deeplearning4j')",Design Decisions,"The ADR describes a pattern for managing configuration parameters across multiple operations, focusing on how to organize and reuse parameter sets within the codebase. This pertains to the logical organization and structure of the system's configuration management, which aligns with design-level decisions about system organization and patterns.",0.75
0009-aliasing.md,"('eclipse', 'deeplearning4j')",Design Decisions,"The ADR focuses on defining an aliasing mechanism at the namespace level, which pertains to the logical organization and structure of the API surface. It involves how functions (operations) are organized, referenced, and presented within the system, which aligns with design and structural organization rather than technology, infrastructure, or other categories.",0.85
DADR-0004-signal-enrichment.md,"('eclipse', 'ditto')",Design Decisions,"The ADR discusses the implementation approach for a feature, specifically detailing two different architectural facades (approach 2 and 3) for signal enrichment, which directly relates to the system's structure and behavior. It focuses on how data is enriched and propagated within the system, which pertains to the logical organization and data flow design.",0.85
0003-double-encoded-urls.md,"('eclipse', 'winery')",Design Decisions,"The ADR focuses on a specific design choice related to URL encoding strategies, which pertains to the logical organization and structure of URL handling within the system. It discusses encoding methods, alternatives, and their implications, aligning with design-level decisions about system structure and data representation.",0.85
0014-use-eclipse-orion-as-editor.md,"('eclipse', 'winery')",Design Decisions,"The ADR focuses on selecting an IDE/editor for development, which pertains to the logical organization and structure of the development environment, a core aspect of design decisions. It discusses the choice of a tool based on features, compatibility, and project context, aligning with design considerations rather than technology, infrastructure, or organizational policies.",0.85
0019-version-in-the-name.md,"('eclipse', 'winery')",Design Decisions,"The ADR focuses on the specific approach to versioning TOSCA elements, including the method of embedding version information within the element name, namespace, or externally. This pertains to the logical organization and structure of the TOSCA elements, which aligns with design decisions about how system components are organized and versioned.",0.75
0004-Feature-Flags.md,"('edgexfoundry', 'edgex-docs')",Design Decisions,"The ADR discusses the conceptual approach to feature management within the system, focusing on how features are enabled or disabled via configuration, which pertains to the system's logical organization and control mechanisms. It does not specify technology choices, infrastructure, organizational processes, constraints, or quality attributes directly, but rather addresses the design philosophy around feature toggling.",0.75
0009-persistence-and-retries-for-events.rst,"('edx', 'event-routing-backends')",Constraints,"The ADR specifies mandatory conditions such as retry strategies, persistence of certain event types, and thresholds for storage and alerting, which are constraints imposed by business requirements and operational policies.",0.4
0004_iso8601vsEpoch.md,"('eikek', 'docspell')",Technology Decisions,"The ADR discusses choosing a specific data format for date-time transfer (ISO8601 vs. Unix milliseconds), which pertains to the selection of a technology standard or format used in the system's API communication.",0.7
0003-associations.md,"('elastic', 'cloud-on-k8s')",Constraints,"The ADR primarily discusses modeling associations between resources, restrictions on CRD configurations, and design choices to avoid over-engineering, all of which relate to mandatory conditions and limitations that influence the architecture. It emphasizes constraints such as simplicity, clarity, and avoiding over-complexity, aligning with the 'Constraints' category.",0.6
0007-make-monitoring-forwarders-storage-independent.md,"('elastisys', 'compliantkubernetes')",Design Decisions,"The ADR primarily discusses the choice of storage mechanisms for monitoring forwarders, focusing on how to structure and organize the storage component within the system. It evaluates different storage options (emptyDir, local persistent volumes, hostPath) and their implications for system resilience, deployment, and performance, which are core concerns of system architecture and design.",0.85
0004-elife-user.md,"('elifesciences', 'elife-base-images')",Organizational/Process Decisions,"The ADR primarily addresses operational and security practices related to user permissions, ownership, and container runtime policies, which are organizational and process-oriented decisions affecting how the system is managed and deployed.",0.4
